name,tempmax,tempmin,temp,precip,precipcover,windspeedmean,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunelevation
"Honolulu, HI",26.8,18.6,23.1,0,0,9.7,1018.6,38.3,16,222.8,19.3,8,10,50.5
"Honolulu, HI",27.1,21.8,24.1,0,0,14.6,1018.3,35.6,16,230.7,19.9,8,10,50.8
"Honolulu, HI",26.7,20.2,23.4,0,0,12.4,1016.9,36.8,16,196,17,7,10,51.1
"Honolulu, HI",26,18.3,22.5,0,0,7.7,1015.6,54.4,16,130.5,11.3,6,10,51.4
"Honolulu, HI",28,19.2,23.6,0,0,13.1,1015.4,36,16,182.9,15.8,9,10,51.6
"Honolulu, HI",26.7,20.6,23.6,0,0,9.9,1015.6,46.9,16,178.8,15.5,8,10,51.9
"Honolulu, HI",27.5,19.4,23.3,0,0,10.2,1016.7,24.8,15.9,236.8,20.3,9,10,52.2
"Honolulu, HI",26.6,17.8,22.3,0,0,7.1,1017.8,23.1,16,220.8,19,9,10,52.5
"Honolulu, HI",28.1,18.7,23.2,0,0,10.3,1018,37.1,16,240.3,20.8,9,10,52.8
"Honolulu, HI",27.8,22.2,24.3,0.073,4.17,18.7,1018.1,52.3,16,140.6,12.2,5,10,53.1
"Honolulu, HI",27.5,21.9,24.1,0,0,19.9,1017.2,54.7,16,110.3,9.4,4,10,53.5
"Honolulu, HI",27.1,21.3,24.1,0,0,15.2,1017.2,39.9,16,172.6,15.1,7,10,53.8
"Honolulu, HI",26.6,19.9,23.3,0,0,11.5,1016.6,48.2,16,197.4,17,9,10,54.1
"Honolulu, HI",26.2,20.1,23.2,0,0,8.5,1015.6,54.1,16,150.2,13.1,8,10,54.4
"Honolulu, HI",26.3,17.8,22.4,0,0,9.6,1014.7,27.6,16,250.1,21.6,9,10,54.7
"Honolulu, HI",27.3,19.3,23.4,0,0,10.4,1015.1,39.9,16,230.5,19.9,9,10,55.1
"Honolulu, HI",26.8,19.8,22.7,0,0,13.9,1014.8,32.9,16,227,19.8,9,10,55.4
"Honolulu, HI",25.7,17.2,21.4,0.039,4.17,9.1,1014.2,40.5,16,196.5,16.9,9,10,55.7
"Honolulu, HI",26.4,17.3,21.7,1.072,20.83,12.1,1015.9,37.9,16,191.9,16.6,8,10,56.1
"Honolulu, HI",26.9,19.1,22.8,0.804,20.83,12.3,1017.6,48.4,15.9,248.3,21.5,9,10,56.4
"Honolulu, HI",28.6,19.2,23.8,0.024,4.17,12.5,1017.5,31.5,16,224,19.3,9,30,56.8
"Honolulu, HI",28.3,20.7,24.3,0.039,4.17,10.4,1015.7,41.5,15.9,226.5,19.6,9,10,57.1
"Honolulu, HI",27.4,19.7,23.3,0,0,9.6,1015.1,45.7,16,144.3,12.5,7,10,57.5
"Honolulu, HI",27.6,20.5,23.7,0,0,11.9,1015.6,44.9,16,250.5,21.7,9,10,57.8
"Honolulu, HI",28,20.8,23.9,0.341,12.5,14.2,1017.1,50.8,15.6,266.7,22.9,9,30,58.2
"Honolulu, HI",28.7,21.6,24.9,0,0,13.5,1017.6,37.5,16,265.6,23.1,10,30,58.6
"Honolulu, HI",28.4,22.9,24.9,0,0,20.7,1018.7,30.7,16,202,17.3,9,10,58.9
"Honolulu, HI",27.9,22.7,24.8,0,0,17.4,1018.9,52.9,16,219,18.8,9,10,59.3
"Honolulu, HI",28.1,21.6,24.5,0.044,4.17,15.9,1019.2,53,16,183.9,15.8,8,10,59.6
"Honolulu, HI",28.6,22.2,24.5,0.039,4.17,14,1018.7,54.9,16,194,16.9,6,10,60
"Honolulu, HI",26.9,21.9,24.3,0,0,9,1017.8,71.5,15.9,164.1,14.2,7,10,60.4
"Honolulu, HI",27.6,22.1,24.5,0.044,4.17,8.7,1016.7,72.6,16,139.3,12.1,8,10,60.7
"Honolulu, HI",27.1,20.5,23.9,0.063,4.17,8.3,1016.5,46.6,16,155.9,12.9,8,10,61.1
"Honolulu, HI",27.3,19.7,23.8,0,0,9.9,1016,30.4,15.9,195.6,16.1,7,10,61.5
"Honolulu, HI",27.4,20.1,23.7,0,0,12.1,1014.6,43.1,16,270.6,22.4,10,10,61.9
"Honolulu, HI",26.6,18,22.6,0.036,4.17,9.4,1014.4,37.5,16,240.4,19.9,10,10,62.2
"Honolulu, HI",26.3,18.8,22.8,0,0,9.8,1015.9,31.5,15.8,198,16.4,8,10,62.6
"Honolulu, HI",26.8,18.5,23.1,0,0,10.3,1016.2,27.4,16,285,23.3,10,5,63
"Honolulu, HI",26.9,19.2,23.2,0.109,4.17,9.5,1017,38.9,16,146.4,12.7,7,10,63.4
"Honolulu, HI",28,20.7,24.1,0.286,12.5,10.2,1017.5,57,15.9,195.9,17,7,30,63.7
"Honolulu, HI",27.9,19.7,24.3,0.153,8.33,9.4,1017.6,31.7,15.8,185.2,16,10,30,64.1
"Honolulu, HI",27.9,21.7,24.9,0,0,12.1,1018.5,38.7,16,276.7,23.8,10,10,64.5
"Honolulu, HI",29.4,23.2,25.7,0,0,18.9,1020.7,30.6,16,262,22.7,10,10,64.9
"Honolulu, HI",28.9,22.7,25.3,0,0,18.6,1020.5,39.7,16,228.2,19.8,7,10,65.2
"Honolulu, HI",28.4,21.5,24.9,0,0,15.9,1018.9,42,16,238,20.5,9,10,65.6
"Honolulu, HI",28.2,21.3,24.7,0,0,16.2,1018.6,46.8,16,243.3,21,10,10,66
"Honolulu, HI",28.2,21,24.5,0,0,9.8,1019,47,16,242.4,21,9,10,66.4
"Honolulu, HI",28.1,22.1,25.4,0,0,12.4,1018.9,64.6,15.9,196.3,17,10,10,66.7
"Honolulu, HI",28.7,23.2,25.4,0,0,18.3,1019.1,56.4,16,253,21.9,9,10,67.1
"Honolulu, HI",28.8,23.1,25.5,0,0,20.8,1019.1,44.3,16,256,22.2,10,10,67.5
"Honolulu, HI",28.9,22.5,25.3,0,0,15.3,1018.2,60.8,16,264.6,22.9,10,10,67.8
"Honolulu, HI",27.3,21,24.3,0.176,16.67,10,1016.6,72.4,16,147.2,12.7,6,10,68.2
"Honolulu, HI",27.4,20,24,1.43,8.33,9.2,1017.1,46.8,15.9,184.5,16,10,10,68.6
"Honolulu, HI",28.5,22,24.6,0.361,8.33,15.9,1018.5,70.8,16,119.4,10.4,6,30,68.9
"Honolulu, HI",29.1,23.5,25.5,0.022,4.17,23.9,1019,61.1,15.9,280.9,24.4,10,30,69.3
"Honolulu, HI",28.4,22.2,24.9,0.408,12.5,19.6,1019.2,74.4,15.6,284.8,24.5,10,30,69.7
"Honolulu, HI",27.2,21.5,23.8,3.913,25,14.4,1019.4,76.7,15.4,121.3,10.3,6,10,70
"Honolulu, HI",27.9,21.4,24.2,0,0,16.7,1018.6,44.4,16,301,26,10,10,70.4
"Honolulu, HI",26.2,20.4,22.8,1.467,20.83,9.4,1015.5,57.7,15.5,209.6,18,10,10,70.7
"Honolulu, HI",26.7,19.3,23.1,0.117,8.33,9.8,1015.4,48.9,16,247.8,21.5,10,10,71.1
"Honolulu, HI",27.8,20.2,24,0,0,12.1,1017.3,48.2,16,252.8,21.8,9,10,71.4
"Honolulu, HI",29.3,21.4,25.1,0.118,4.17,15.4,1018.3,44.6,16,283.1,24.5,10,10,71.8
"Honolulu, HI",28.3,21.8,24.5,2.262,33.33,15.6,1019,62.8,15,235,20.2,8,10,72.1
"Honolulu, HI",27.2,22.3,24.3,0.189,16.67,20.8,1018.9,55,15.8,204.6,17.6,8,10,72.5
"Honolulu, HI",29.1,23.4,25.2,0,0,27.8,1019.8,60.8,15.8,169,14.6,5,10,72.8
"Honolulu, HI",28.5,23.3,25.1,0.039,4.17,26.6,1020.8,52,16,263.1,22.9,10,10,73.1
"Honolulu, HI",28.3,23,24.8,0,0,22.3,1019.3,60,16,198.3,17,8,10,73.5
"Honolulu, HI",27.3,22.3,24.7,0,0,15.6,1016.5,74.3,16,240.2,20.9,9,10,73.8
"Honolulu, HI",27.7,20.8,24.2,0.141,8.33,17.2,1016.2,53.1,15.7,249.1,21.2,9,10,74.1
"Honolulu, HI",28.7,22.8,25.1,0,0,25,1016.4,40,15.9,269.8,23.3,10,10,74.4
"Honolulu, HI",27.7,22.6,24.8,0.277,8.33,20.9,1017.9,64.5,15.8,185.1,16.1,8,10,74.7
"Honolulu, HI",28.8,22.9,25.2,0.101,8.33,18.6,1017.9,50.7,16,272,23.4,10,30,75
"Honolulu, HI",29.1,23.4,25.6,0,0,18.6,1017.2,77.4,15.8,280,24.2,10,30,75.3
"Honolulu, HI",29.1,23.2,25.4,0,0,18.3,1017.1,57.2,15.8,312.6,27,10,10,75.6
"Honolulu, HI",29.6,23.2,25.7,0,0,18.4,1017.3,60.3,15.9,287.3,24.9,10,10,75.9
"Honolulu, HI",29,22.9,25.5,0,0,18.7,1017.4,46.8,16,283.7,24.5,10,10,76.2
"Honolulu, HI",28.6,22.9,25.3,0,0,21.4,1016.7,47.9,15.9,265.6,22.8,9,10,76.5
"Honolulu, HI",28.6,22.5,24.8,0,0,21.5,1016.4,53.1,15.9,160.8,13.8,8,10,76.8
"Honolulu, HI",27.4,23,24.6,0.37,12.5,18.1,1017.1,66.2,15.9,193.5,16.7,8,30,77.1
"Honolulu, HI",28.2,22.9,24.6,0,0,20.7,1019.1,67.9,15.9,292.7,25.2,10,10,77.3
"Honolulu, HI",28.1,21.3,24.6,0,0,19.2,1020.4,43,15.7,270.8,23.5,10,10,77.6
"Honolulu, HI",27.5,22.3,24.6,0.036,4.17,23.2,1021.1,51.1,16,228.6,19.8,10,10,77.9
"Honolulu, HI",28.4,22.3,24.6,0.073,4.17,22.2,1020.3,56.1,15.6,209.1,17.9,8,10,78.1
"Honolulu, HI",27.6,21.6,24.1,0.341,12.5,19.9,1019.2,73.6,15.9,136.4,11.6,6,10,78.3
"Honolulu, HI",29.1,23,25.5,0.044,4.17,20.8,1019.4,68.7,16,259.1,22.4,10,5,78.6
"Honolulu, HI",26.9,22,24.6,0,0,21.1,1019.2,81.3,15.8,65.5,5.9,2,5,78.9
"Honolulu, HI",28.8,23.3,25.5,0.147,4.17,22.8,1018.6,58.9,16,224.9,19.5,10,5,79.2
"Honolulu, HI",27.8,23.3,25.2,0.073,4.17,22.7,1018.4,45.6,16,165.1,14.2,7,5,79.5
"Honolulu, HI",29.1,22.2,25,0.285,20.83,19,1017.5,65.2,15.7,214.9,18.4,8,5,79.7
"Honolulu, HI",27.9,22.3,24.9,0,0,15.2,1016.2,69.3,16,236.7,20.4,9,10,80
"Honolulu, HI",29,22.6,25.6,0,0,17.1,1014.7,49,16,333.8,28.8,10,10,80.2
"Honolulu, HI",28.6,23.2,25.4,0.073,4.17,21.2,1015.6,54.2,16,224.5,19.3,8,10,80.5
"Honolulu, HI",28.5,23,25.1,0,0,22.6,1017.7,64.8,16,168,14.5,6,10,80.7
"Honolulu, HI",28.8,22.9,25.1,0.308,12.5,25.2,1018.6,70.7,15.9,281.5,24.1,10,30,80.9
"Honolulu, HI",27.8,22.7,24.7,0.929,16.67,23.2,1019.3,74.2,16,136.8,11.8,5,30,81.2
"Honolulu, HI",28.1,22,24.8,1.209,16.67,20.7,1019.7,70.4,15.6,112,9.5,7,30,81.4
"Honolulu, HI",28.6,21.8,24.9,2.271,8.33,21.3,1019.4,62.3,16,231.5,20,7,30,81.6
"Honolulu, HI",28.3,22.5,25.1,0,0,21.7,1019.1,66.2,16,237.6,20.5,7,10,81.8
"Honolulu, HI",27.5,23.5,25.1,0.022,4.17,24.7,1019.8,84.8,16,145.1,12.5,6,10,81.9
"Honolulu, HI",28,23.6,25.2,0,0,24.6,1020.2,75,15.9,190.9,16.6,8,5,82.1
"Honolulu, HI",29,23.7,25.7,0,0,20.3,1019.2,80.7,16,156.5,13.5,8,10,82.3
"Honolulu, HI",29,23,25.6,0.073,4.17,20.1,1017.6,64.2,15.8,190.1,16.4,9,10,82.4
"Honolulu, HI",28.8,22.3,25.3,0,0,20.9,1017.1,54.5,16,271.4,23.5,10,10,82.6
"Honolulu, HI",28.7,22.8,25.6,0,0,20.5,1017.4,50,16,147.3,12.7,5,10,82.7
"Honolulu, HI",29.3,23.2,25.8,0,0,22,1017.9,50.2,16,139.4,12.1,6,10,82.8
"Honolulu, HI",29.4,22.5,25.8,0.044,4.17,18.4,1017.7,50.1,16,300.5,25.9,10,10,82.9
"Honolulu, HI",29.2,22.5,25.6,0.224,4.17,18.7,1017.6,41.2,16,278.7,24.1,10,10,83
"Honolulu, HI",27.6,22.9,24.7,0,0,13.9,1017.7,68,15.7,301.3,26,10,10,83.1
"Honolulu, HI",26.6,22.4,24.1,0.032,4.17,9.2,1018.1,79.6,15.8,160.1,13.8,8,10,83.2
"Honolulu, HI",28.2,20.1,24.6,0.044,4.17,12,1017.5,39.5,16,254,22,9,10,83.2
"Honolulu, HI",26.1,21.3,24.4,4.523,25,16.2,1017,79.5,15.5,47.1,4,2,10,83.3
"Honolulu, HI",28.3,24.3,26.1,0,0,12.4,1016.4,77.3,16,135.8,11.8,5,30,83.3
"Honolulu, HI",27.6,23.4,25.5,21.224,16.67,7.8,1016.5,84.5,15.7,135.5,11.8,6,30,83.3
"Honolulu, HI",30.7,23.4,26.3,0,0,14.2,1017.9,65.6,16,298.3,25.7,10,10,83.4
"Honolulu, HI",28.8,23.8,26,0,0,19.7,1019.5,71.9,16,232.9,20,9,10,83.4
"Honolulu, HI",29,23.3,25.8,0.117,8.33,15.9,1019.2,50.3,16,328.4,28.3,10,10,83.4
"Honolulu, HI",29.5,22,25.6,0,0,14.7,1017,47,16,320.9,27.7,10,10,83.4
"Honolulu, HI",28.8,21.9,25.1,0,0,15.9,1015.6,32.6,16,311.4,26.8,10,10,83.4
"Honolulu, HI",29,22.7,25.4,0,0,16.5,1015.2,40,16,298.3,25.7,10,10,83.3
"Honolulu, HI",28.7,22.8,25.5,0,0,15.4,1016.2,63.2,16,207.1,17.9,9,10,83.3
"Honolulu, HI",28.3,23.4,25.6,0.193,12.5,16.3,1017,76.3,16,218.2,19,8,10,83.3
"Honolulu, HI",27.3,23,24.6,1.137,12.5,9.4,1016.4,74.3,15.4,202.4,17.7,9,10,83.3
"Honolulu, HI",29.7,20.7,25.1,0,0,13.7,1015.7,37.3,16,281.6,24.1,10,10,83.2
"Honolulu, HI",29.2,22.8,25.8,0,0,17.6,1015.8,43.1,16,208.4,17.9,8,10,83.2
"Honolulu, HI",29.3,23.2,25.9,0,0,16.3,1016.5,48.9,16,278.2,23.8,10,10,83.1
"Honolulu, HI",29.5,23.1,25.7,0,0,15.4,1016.8,61.2,16,164.8,14.1,7,10,83.1
"Honolulu, HI",29,21.8,25.4,0.073,4.17,12.6,1016.7,37.3,16,338.8,29.3,10,10,83
"Honolulu, HI",28.8,22,25.5,0,0,10.7,1016.6,35,16,336.3,29,10,10,83
"Honolulu, HI",30.1,21.6,25.7,0,0,10.3,1016.3,48.1,16,323.5,27.7,10,10,82.9
"Honolulu, HI",30.7,21.6,26.2,0,0,12.6,1016.9,34.3,16,342,29.6,10,10,83
"Honolulu, HI",30,23.7,26.5,0,0,16.4,1017.2,39.9,16,261,22.6,9,10,83
"Honolulu, HI",30,22.9,26.3,0,0,15.9,1016.8,39.4,16,330.6,28.5,10,10,83
"Honolulu, HI",30.1,21.5,26,0,0,15.6,1016.6,37.9,16,305.4,26.4,10,10,83
"Honolulu, HI",30,23.7,26.5,0,0,18.5,1016.7,42.5,16,219.8,19.1,7,10,83.1
"Honolulu, HI",30.5,24.2,26.9,0,0,21.6,1017.8,40.4,16,308.7,26.5,10,10,83.1
"Honolulu, HI",30.4,24.4,26.8,0,0,24,1018.8,52.4,16,155.7,13.5,6,10,83.1
"Honolulu, HI",29.3,24.2,26.6,0,0,23.7,1019.3,51.3,16,305.1,26.3,10,10,83.2
"Honolulu, HI",29.3,24,26.3,0.121,8.33,21.6,1019,39.9,15.9,303.4,26.2,10,10,83.2
"Honolulu, HI",29.6,23.8,26.1,0.341,12.5,14.4,1017.7,59.2,16,117.6,10.1,4,10,83.2
"Honolulu, HI",29.1,22.9,25.6,0.198,16.67,17.8,1017.2,51.8,16,227.4,19.6,9,10,83.3
"Honolulu, HI",30,23.4,26.4,0,0,20.6,1017.1,43.7,16,328.4,28.4,10,10,83.3
"Honolulu, HI",29.8,23.7,26.5,0,0,20.4,1016.2,44.5,16,325.9,28.2,10,10,83.4
"Honolulu, HI",29.5,23.8,26.6,0,0,19.1,1016.2,44.7,16,282.3,24.5,9,10,83.4
"Honolulu, HI",30.2,23.8,26.3,0.232,4.17,19.2,1017.1,56.1,15.9,266.1,23.1,8,10,83.4
"Honolulu, HI",29.9,23.7,26.5,0.073,4.17,19.3,1017.4,41.6,16,267.6,23.2,10,10,83.5
"Honolulu, HI",30,23.9,26.4,0,0,18.6,1017.6,47.7,16,282.8,24.6,10,10,83.5
"Honolulu, HI",29.8,23.9,26.3,0,0,17.2,1016.5,55.7,16,259.5,22.4,10,10,83.6
"Honolulu, HI",29.7,23.1,25.7,0.147,4.17,13.4,1015.7,46.5,15.4,272.2,23.6,10,10,83.6
"Honolulu, HI",29.5,22.4,26,0,0,14.9,1015.2,41.1,16,331.4,28.7,10,10,83.7
"Honolulu, HI",29.6,23,26.3,0,0,15,1016.2,43.2,16,330.3,28.4,10,10,83.8
"Honolulu, HI",29.8,22.5,26.3,0,0,17,1016.9,50.1,16,259,22.4,9,10,83.8
"Honolulu, HI",30.3,23.5,26.6,0,0,22.4,1017.8,41.7,16,313,26.9,10,10,83.9
"Honolulu, HI",29.9,23.9,26.5,0.073,4.17,22.5,1018.7,55.9,15.8,327.1,28.1,10,10,83.9
"Honolulu, HI",30.5,24.4,27,0,0,23.6,1019.1,51.3,16,286.9,24.9,9,10,84
"Honolulu, HI",30.8,25.7,27.5,0,0,26.3,1019.2,61.4,16,220.4,19.1,7,30,84.1
"Honolulu, HI",29.9,25,27.2,0,0,25.5,1018,54.1,16,273.5,23.6,9,10,84.1
"Honolulu, HI",28.2,23.3,25.9,4.01,16.67,23.1,1018.4,82.4,15.8,137.3,11.9,7,10,84.2
"Honolulu, HI",28.5,23.9,26,0.035,8.33,25.8,1019,81.5,15.9,94.8,8.1,3,10,84.2
"Honolulu, HI",29.3,23.5,26,0.319,12.5,22.6,1018.7,69.4,15.9,171.6,14.7,7,10,84.3
"Honolulu, HI",30,23.8,26.2,0.044,4.17,20.6,1017.3,55.1,15.9,245.3,21.2,8,10,84.4
"Honolulu, HI",29.6,23.4,25.9,0.526,8.33,19.4,1016.7,66.3,15.9,235.1,20.1,10,10,84.4
"Honolulu, HI",27.8,23.9,25.5,0,0,20,1017.6,69.2,15.9,117.5,10.2,5,10,84.5
"Honolulu, HI",30,23.9,26.5,0.354,12.5,22.2,1018.9,64.9,16,207.3,17.9,9,5,84.5
"Honolulu, HI",30.8,24.3,26.9,0.044,4.17,23.5,1019.6,54.7,16,270,23.2,9,10,84.6
"Honolulu, HI",29.7,24.3,26.4,0.19,8.33,22.6,1018.3,70.8,15.7,196.8,17.1,8,10,84.6
"Honolulu, HI",29.8,23.5,26.2,0.088,8.33,19.1,1017.7,70.6,15.8,183.9,15.9,6,10,84.7
"Honolulu, HI",30.2,24.6,27,0.161,12.5,22.4,1018,52.8,15.9,293,25.4,9,10,84.7
"Honolulu, HI",30.4,24.6,27,0.191,8.33,21.9,1018.6,68.6,15.9,178.5,15.4,7,10,84.7
"Honolulu, HI",29.9,24.3,26.9,0,0,21.6,1018.3,61.2,16,271.2,23.4,10,10,84.8
"Honolulu, HI",30,25.4,27.2,0.161,8.33,23.2,1017.4,67.3,15.8,148.3,12.9,5,10,84.8
"Honolulu, HI",30.1,25.6,27.5,0.068,8.33,23.8,1017.4,78,15.8,184.6,16,8,10,84.8
"Honolulu, HI",29.7,24.7,26.7,0.136,12.5,23,1018.5,64.6,15.8,142.3,12.1,6,10,84.8
"Honolulu, HI",30.1,24.7,26.9,0.044,4.17,19.8,1017.7,56.6,16,190.3,16.6,9,10,84.8
"Honolulu, HI",29.7,23.8,26.4,0.073,4.17,21.1,1017.4,49.7,15.9,172.1,14.9,7,10,84.8
"Honolulu, HI",30.4,23.9,26.7,1.147,16.67,21.9,1017.6,54.7,15.7,281.5,24.4,10,10,84.8
"Honolulu, HI",30.5,24.3,27.1,0,0,20.8,1018.3,38.6,16,281.8,24.4,8,10,84.7
"Honolulu, HI",31,24,27,0,0,21,1018.3,37.3,16,302.9,26.3,10,10,84.7
"Honolulu, HI",30.4,24.4,27,0,0,20.7,1018.5,34.7,16,253.4,21.9,8,10,84.6
"Honolulu, HI",30.5,23.5,27,0.132,12.5,20.3,1018.5,54.2,15.8,304.4,26.3,10,10,84.5
"Honolulu, HI",29.7,24.6,26.9,0.088,8.33,20.1,1017.4,59.1,16,284.6,24.6,10,10,84.5
"Honolulu, HI",31,24.4,27.3,0,0,20.3,1017.1,35.4,16,322.2,27.8,10,10,84.4
"Honolulu, HI",29.8,23.5,26.6,0,0,14.3,1016.9,35.9,16,293.7,25.4,10,10,84.3
"Honolulu, HI",29.8,22.5,26.4,0,0,12,1017.2,34.3,16,330.5,28.5,10,30,84.1
"Honolulu, HI",30.9,24.7,27.3,0,0,21,1018.1,42.6,16,261.3,22.5,9,30,84
"Honolulu, HI",30.6,25.1,27.1,0,0,25.2,1018.7,42.7,16,253.8,21.8,10,10,83.9
"Honolulu, HI",29.5,23.4,26.3,0.503,12.5,20.8,1017.3,62.4,15.8,197.3,17,10,10,83.7
"Honolulu, HI",30,24,26.3,0.224,4.17,20.5,1015.6,50.5,16,272.7,23.6,10,10,83.6
"Honolulu, HI",30.1,23.4,26.3,0.484,8.33,14.4,1013.9,38,15.9,324,27.8,10,10,83.4
"Honolulu, HI",29.5,22.9,25.9,0,0,11.2,1014.3,38.8,15.9,289.3,25,10,10,83.2
"Honolulu, HI",28.7,22.6,26.1,0.191,8.33,9.1,1014.4,34.3,16,242.8,20.9,10,10,83
"Honolulu, HI",30.4,23.3,26.9,0,0,12.7,1014.8,45.8,16,312.5,27.1,10,30,82.8
"Honolulu, HI",30.5,25.2,27.4,0,0,19.7,1015.8,42.3,16,253.5,21.9,10,10,82.6
"Honolulu, HI",30.9,24.3,27.3,0,0,20.4,1016.8,39.9,16,203.2,17.5,8,10,82.4
"Honolulu, HI",30.4,25.1,27.5,0.089,12.5,23.3,1017.2,50.8,15.9,244.1,21.2,9,10,82.1
"Honolulu, HI",31.6,25.8,28.2,0,0,24.3,1018.1,42.1,16,332.3,28.8,10,10,81.9
"Honolulu, HI",31,26.1,27.8,0.044,4.17,24.1,1019,53.8,16,245.5,21.2,10,10,81.6
"Honolulu, HI",30.7,24,27.2,0,0,17.9,1017.3,41.5,16,331.9,28.6,10,10,81.4
"Honolulu, HI",30.4,23.5,26.9,0,0,16.5,1016.5,51.5,16,321.3,27.7,10,10,81.1
"Honolulu, HI",31.1,24.4,27.5,0,0,19.8,1016.9,51.9,16,320.4,27.5,10,10,80.8
"Honolulu, HI",31,24.3,27.2,0.073,4.17,12.5,1016.7,58.2,16,293.1,25.1,10,10,80.6
"Honolulu, HI",29.2,23.1,26.4,1.59,33.33,8.9,1014.9,38.9,15.7,294.6,25.4,9,10,80.3
"Honolulu, HI",31.1,23.3,27.2,0,0,12.5,1014.4,40.7,16,259,22.4,10,30,80
"Honolulu, HI",32.1,24.1,27.7,0,0,15.9,1015.5,37.7,16,315.8,27.3,10,30,79.7
"Honolulu, HI",31.2,25.6,27.9,0,0,19.9,1016.8,39.8,16,263,22.6,9,10,79.4
"Honolulu, HI",31,25,27.6,0,0,20,1017.5,40.4,16,274.7,23.8,9,10,79.1
"Honolulu, HI",30.7,24.5,27.3,0,0,18.8,1017.4,25.3,16,238.2,20.5,9,10,78.8
"Honolulu, HI",30.1,24,27,0.161,8.33,16.7,1016.3,55,16,224.7,19.6,10,10,78.4
"Honolulu, HI",29.1,24,26.1,3.838,29.17,10,1015.1,65.1,15.6,155.4,13.4,6,10,78.1
"Honolulu, HI",30.3,23.3,26.8,0,0,12.4,1015,47.5,16,203.4,17.7,10,10,77.8
"Honolulu, HI",30.2,23.9,27,0,0,12.9,1015.4,47.8,16,233.2,20.1,10,10,77.5
"Honolulu, HI",31.2,24.5,27.5,0,0,16.9,1016.7,48.7,16,290.8,25.2,10,10,77.1
"Honolulu, HI",31.8,25.6,27.8,0,0,22.1,1016.9,37.1,16,286.8,24.6,10,10,76.8
"Honolulu, HI",31.1,23.3,26.7,0.11,4.17,17.3,1015.4,49.1,16,258.9,22.4,9,10,76.4
